id;name;description;rating;count_rating;genre_id;author_id
;Dota 2;Игра может похвастаться бесконечным разнообразием героев, способностей и предметов, благодаря чему каждый матч уникален. Любой герой может исполнять множество ролей, и для каждой нужды найдутся подходящие предметы. Здесь вас ничто не ограничивает — вы сами выбираете, какой стратегии следовать;7;1;1;1
;Grand Theft Auto V;Сюжет в однопользовательском режиме строится вокруг приключений троих грабителей, устраивающих всё более дерзкие ограбления и противостоящих как организованной преступности, так и правоохранительным ведомствам.;9;1;3;4
;The Witcher 3: Wild Hunt;Игра в стиле тёмного фэнтези, мир которой основан на славянской мифологии, повествует о ведьмаке Геральте из Ривии, охотнике на чудовищ, чья приёмная дочь Цири находится в опасности, будучи преследуемой Дикой Охотой — загадочной потусторонней силой, тайна которой раскрывается по ходу игры.;10;1;4;7
;Prey;Действие игры происходит на вымышленной космической станции «Талос-1», находящейся в первой точке Лагранжа на орбите вокруг системы Земля-Луна. Игрок управляет героем-одиночкой по имени Морган Ю, пытающимся спастись с захваченной инопланетянами-«тифонами» станции. Prey построена нелинейно, в духе метроидваний — игрок постепенно получает доступ к ранее недоступным отсекам станции, находя ключи и новые способности.;10;1;2;2
;Dishonored 2;Действие игры происходит в вымышленной Островной империи, через 15 лет после событий первой части игры. Основные события происходят в городах Дануолл и Карнака. В ходе первой сцены в тронном зале, игрок получает возможность выбора в какой роли играть: потерявшей трон императрицы Эмили или защитника короны и ее отца — Корво.;9;1;2;2
;Assassin's creed valhalla;Действие игры начинается в 873 году во времена завоеваний викингов. Игроку предстоит взять на себя роль викинга Эйвор, ведущего своих сородичей от берегов холодной Норвегии до плодородных земель Англии в поисках нового дома. Клану Эйвор противостоят лидеры четырёх англо-саксонских королевств: Уэссекса, Нортумбрии, Восточной Англии и Мерсии во главе с Альфредом Великим.;4;1;3;3
;Half-Life;игра, в которых сюжет развивается полностью внутри игрового пространства без использования видеозаставокПерейти к разделу «#Игровой процесс». Игровые издания высоко оценили новаторский стиль повествования, являющийся главным достоинством игры. Другой сильной стороной игры называют искусственный интеллект противников.;7;1;3;1
;Red Dead Redemption 2;В ходе основной сюжетной части нам предоставляется возможность взять на себя роль Артура Моргана — члена банды Ван Дер Линде, от лица которого предстоит решить множества проблем данной группировки.Сюжетная часть за Артура Моргана представляет из себя классическую трехактную структуру. Каждый акт имеет свою специфику и атмосферу, что подчеркивается окружающим миром, который явно подстраивался и создавался под сценарий.;8;1;8;4
;God of War;приключенческий слэшер с видом от третьего лица, события которого переносятся из Греции в Скандинавию. Игра является одновременно и сиквелом, и перезапуском серии. Сюжет строится вокруг спартанца Кратоса, который сумел-таки отомстить богам Олимпа.;10;1;8;8
;Dark Souls III;Быстрая боевая система, вариативность ситуаций, вместе с роскошными локациями, жуткими противниками, эпичными боссами формируют одну из главных игр за последние годы, которую ни в коем случае нельзя пропускать.;7;1;7;9
